"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Tyler Anderson","- - -","7","11","0","31","31","167.0","7.22","2.05","1.46",".284","71.3%","35.1%","12.2%","90.8","4.53","4.21","4.37","4.60","2.1","12880"
"Cole Irvin","OAK","10","15","0","32","32","178.1","6.31","2.12","1.16",".302","71.1%","37.6%","10.4%","91.0","4.24","4.99","4.30","4.82","2.1","19244"
"Brady Singer","KCR","5","10","0","27","27","128.1","9.19","3.72","0.98",".350","67.8%","49.9%","13.0%","93.7","4.91","4.57","4.04","4.11","2.0","25377"
"Alek Manoah","TOR","9","2","0","20","20","111.2","10.24","3.22","0.97",".246","76.6%","38.8%","10.7%","93.5","3.22","3.37","3.80","4.17","2.0","26410"
"Jameson Taillon","NYY","8","6","0","29","29","144.1","8.73","2.74","1.50",".272","73.1%","33.2%","12.1%","94.1","4.30","3.92","4.43","4.69","2.0","11674"
"Framber Valdez","HOU","11","6","0","22","22","134.2","8.35","3.88","0.80",".268","78.3%","70.3%","21.4%","92.3","3.14","3.78","4.01","3.58","1.9","17295"
"Matt Harvey","BAL","6","14","0","28","28","127.2","6.70","2.61","1.34",".331","60.4%","42.7%","12.3%","93.6","6.27","5.41","4.60","4.81","1.9","11713"
"Ian Anderson","ATL","9","5","0","24","24","128.1","8.70","3.72","1.12",".261","79.1%","49.3%","15.1%","94.6","3.58","4.30","4.12","3.96","1.9","19951"
"Cal Quantrill","CLE","8","2","0","22","22","121.0","7.36","2.60","1.04",".264","76.6%","42.6%","10.9%","94.5","3.12","","4.05","4.42","1.8","19312"
"Jose Urquidy","HOU","8","3","0","20","20","107.0","7.57","1.60","1.43",".237","77.2%","32.2%","12.1%","92.7","3.62","3.87","4.14","4.38","1.8","18413"
"Tanner Houck","BOS","0","4","0","13","13","58.2","11.20","2.30","0.61",".324","66.3%","49.0%","9.1%","94.7","3.68","","2.64","3.08","1.8","19879"
"Chris Paddack","SDP","7","7","0","22","22","106.1","8.04","1.86","1.18",".306","59.4%","42.7%","12.4%","94.9","5.08","","3.74","3.91","1.8","20099"
"Dane Dunning","TEX","5","10","0","25","25","114.2","8.56","3.38","0.94",".334","72.0%","53.9%","13.6%","","4.55","","3.94","3.93","1.8","19409"
"Trevor Bauer","LAD","8","5","0","17","17","107.2","11.45","3.09","1.59",".220","88.9%","33.5%","16.0%","94.0","2.59","3.39","4.03","3.69","1.8","12703"
"Eric Lauer","MIL","7","5","0","20","20","106.2","8.52","2.95","1.10",".250","79.0%","36.2%","10.9%","92.5","3.04","","3.90","4.28","1.8","19316"
"Patrick Sandoval","LAA","3","6","0","14","14","79.2","9.72","3.50","0.90",".274","74.9%","50.7%","12.9%","93.3","3.39","","3.63","3.70","1.7","19447"
"Kenta Maeda","MIN","6","5","0","21","21","106.1","9.56","2.71","1.35",".316","69.3%","38.4%","14.4%","90.8","4.66","3.73","4.10","3.99","1.7","18498"
"Rich Hill","- - -","7","8","0","31","31","155.2","8.44","3.01","1.21",".274","78.1%","35.2%","11.5%","88.4","3.76","","4.36","4.68","1.6","4806"
"Danny Duffy","KCR","4","3","0","12","12","60.0","9.60","3.30","0.90",".293","83.8%","32.5%","8.2%","93.7","2.55","","3.44","4.28","1.6","3542"
"Madison Bumgarner","ARI","7","10","0","26","26","146.1","7.63","2.40","1.48",".265","67.8%","33.3%","12.3%","90.5","4.67","4.33","4.63","4.85","1.5","5524"
"Michael Wacha","TBR","3","5","0","23","23","107.1","8.55","2.18","1.34",".308","70.3%","39.4%","14.3%","93.9","4.53","","4.05","3.95","1.5","14078"
"Spencer Turnbull","DET","4","2","0","9","9","50.0","7.92","2.16","0.36",".254","70.3%","57.2%","5.3%","94.5","2.88","3.03","2.95","3.77","1.5","16207"
"Kyle Freeland","COL","7","8","0","23","23","120.2","7.83","2.83","1.49",".325","78.9%","45.0%","16.4%","91.5","4.33","4.15","4.63","4.26","1.5","16256"
"Zac Gallen","ARI","4","10","0","23","23","121.1","10.31","3.63","1.41",".286","74.6%","43.7%","15.8%","93.4","4.30","3.92","4.25","3.96","1.5","19291"
"Adrian Houser","MIL","9","6","0","26","26","135.1","6.45","4.06","0.73",".256","73.1%","57.7%","12.9%","94.1","3.33","","4.34","4.40","1.5","12718"
"Corey Kluber","NYY","5","3","0","16","16","80.0","9.23","3.71","0.90",".310","74.4%","42.5%","9.6%","90.3","3.83","4.09","3.84","4.38","1.5","2429"
"Johnny Cueto","SFG","7","7","0","21","21","112.1","7.61","2.32","1.20",".324","74.3%","38.3%","12.4%","91.9","4.09","","4.10","4.26","1.5","6893"
"Matthew Boyd","DET","3","8","0","15","15","78.2","7.67","2.63","1.03",".294","74.2%","38.4%","9.3%","92.2","3.89","4.18","4.10","4.79","1.4","15440"
"Huascar Ynoa","ATL","4","6","0","17","17","90.0","10.00","2.50","1.40",".271","73.5%","47.2%","18.7%","96.6","4.10","","3.94","3.38","1.4","20468"
"Zack Greinke","HOU","11","6","0","29","29","168.2","6.24","1.92","1.55",".264","75.3%","44.1%","17.0%","89.0","4.11","","4.69","4.25","1.4","1943"
"Casey Mize","DET","7","9","0","30","30","150.1","7.06","2.45","1.44",".254","79.5%","48.1%","16.2%","94.1","3.71","4.96","4.71","4.37","1.3","20492"
"Michael Pineda","MIN","8","8","0","21","21","106.1","7.19","1.69","1.44",".295","77.1%","40.1%","13.5%","90.9","3.72","","4.27","4.28","1.3","5372"
"Austin Gomber","COL","9","9","0","23","23","115.1","8.82","3.20","1.56",".264","69.5%","44.3%","16.8%","91.8","4.53","4.09","4.61","4.17","1.3","16561"
"Alec Mills","CHC","4","7","0","20","20","99.1","6.52","2.17","1.18",".322","66.8%","50.9%","14.8%","88.9","4.80","","4.27","4.13","1.3","13834"
"James Kaprielian","OAK","8","5","0","21","21","111.1","9.13","3.23","1.37",".271","80.0%","35.4%","11.7%","93.2","3.80","","4.31","4.62","1.3","18331"
"Kyle Hendricks","CHC","14","7","0","32","32","181.0","6.51","2.19","1.54",".299","73.0%","43.1%","15.6%","87.5","4.77","4.99","4.89","4.61","1.3","12049"
"Joe Ross","WSN","5","9","0","19","19","103.0","9.35","2.88","1.49",".276","73.3%","43.0%","16.2%","93.9","4.02","","4.43","4.08","1.3","12972"
"Kwang-hyun Kim","STL","6","7","0","21","21","96.2","6.89","3.07","1.02",".275","76.2%","45.6%","10.9%","89.2","3.63","","4.27","4.63","1.3","27458"
"Nestor Cortes","NYY","2","3","0","14","14","73.1","9.20","2.09","1.60",".255","87.4%","24.7%","12.0%","90.8","3.07","","4.21","4.50","1.2","17874"
"Andrew Heaney","- - -","8","8","0","23","23","120.0","10.50","3.00","1.88",".291","68.0%","33.0%","17.5%","92.0","5.48","","4.67","4.06","1.2","15423"
"Domingo German","NYY","4","5","0","18","18","91.0","8.70","2.47","1.58",".262","73.6%","41.4%","13.7%","93.4","4.25","","4.41","4.39","1.2","17149"
"Taijuan Walker","NYM","7","11","0","29","29","154.1","8.16","3.21","1.52",".246","69.8%","42.2%","14.9%","94.6","4.43","","4.67","4.48","1.2","11836"
"Erick Fedde","WSN","7","9","0","27","27","131.2","8.61","3.21","1.57",".306","65.9%","49.7%","18.7%","","5.26","","4.69","4.07","1.1","17425"
"Yusei Kikuchi","SEA","7","9","0","29","29","157.0","9.34","3.55","1.55",".289","74.6%","48.4%","20.6%","95.3","4.41","5.16","4.61","3.85","1.1","20633"
"Mitch Keller","PIT","5","11","0","23","23","100.2","8.23","4.38","0.89",".388","68.2%","40.4%","9.3%","94.1","6.17","5.70","4.30","4.90","1.1","17594"
"Zach Thompson","MIA","2","7","0","14","14","63.2","7.77","3.11","0.85",".253","67.6%","43.9%","8.6%","92.3","3.25","","3.80","4.51","1.1","16094"
"Brad Keller","KCR","8","12","0","26","26","133.2","8.08","4.31","1.21",".347","68.7%","47.8%","14.9%","94.2","5.39","6.48","4.72","4.56","1.1","15734"
"Triston McKenzie","CLE","5","9","0","24","24","116.1","10.13","4.18","1.62",".226","67.5%","30.8%","15.1%","92.3","5.03","","4.73","4.50","1.1","18000"
"Zach Plesac","CLE","10","6","0","25","25","142.2","6.31","2.14","1.45",".263","67.9%","45.3%","13.3%","93.0","4.67","4.54","4.73","4.77","1.1","19979"
"Jose Suarez","LAA","5","7","0","14","14","71.0","7.48","3.42","1.01",".272","66.8%","47.2%","11.6%","93.0","4.44","","4.28","4.53","1.0","19911"
"Drew Rasmussen","TBR","3","0","0","10","10","42.0","6.00","1.50","0.43",".197","78.8%","50.4%","5.6%","96.9","1.93","","2.96","3.85","1.0","25385"
"Jake Odorizzi","HOU","6","7","0","23","23","100.2","7.87","3.04","1.43",".276","73.9%","34.6%","11.9%","92.5","4.38","","4.59","4.89","1.0","6397"
"Tyler Alexander","DET","1","3","0","15","15","66.2","7.02","2.43","1.22",".277","81.2%","36.5%","9.8%","90.4","3.38","","4.31","4.99","1.0","17735"
"Trevor Williams","- - -","4","2","0","15","15","68.2","8.78","3.28","1.18",".347","77.1%","45.4%","13.6%","91.9","4.33","","4.10","4.09","1.0","16977"
"Bailey Ober","MIN","3","3","0","20","20","92.1","9.36","1.85","1.95",".296","79.8%","33.1%","16.8%","92.4","4.19","4.48","4.56","4.01","1.0","21224"
"Paolo Espino","WSN","5","4","0","19","19","86.0","7.53","2.20","1.67",".296","77.0%","37.0%","15.2%","89.0","4.50","","4.68","4.42","0.9","8246"
"Brett Anderson","MIL","4","9","0","24","24","96.0","5.44","2.63","1.03",".294","68.6%","57.5%","16.9%","89.3","4.22","5.73","4.39","4.09","0.9","8223"
"Ryan Yarbrough","TBR","5","5","0","21","21","117.0","6.69","1.46","1.69",".294","59.9%","35.7%","15.0%","86.6","5.46","","4.69","4.46","0.9","16502"
"Matt Manning","DET","4","7","0","18","18","85.1","6.01","3.48","1.05",".305","61.9%","44.5%","10.2%","93.7","5.80","5.48","4.62","5.13","0.9","20369"
"Jack Flaherty","STL","9","2","0","15","15","76.1","9.67","2.95","1.41",".233","74.1%","38.7%","16.0%","94.0","3.30","","4.28","3.97","0.8","17479"
"Tarik Skubal","DET","8","11","0","29","29","143.2","9.96","2.76","2.13",".274","80.5%","38.6%","21.0%","94.6","4.39","","5.06","3.97","0.8","22267"
"Chris Sale","BOS","5","1","0","9","9","42.2","10.97","2.53","1.27",".358","79.8%","47.4%","16.7%","93.9","3.16","3.49","3.69","3.35","0.8","10603"
"Jorge Lopez","BAL","3","14","0","25","25","113.1","8.10","4.29","1.51",".347","68.6%","49.4%","18.8%","95.1","6.35","","5.24","4.64","0.8","14527"
